,failureType
7238,Center
83324,Scratch
42809,Loc
5934,Center
77844,Random
64708,Near-full
55974,Near-full
69920,Random
1788,Center
10174,Center
4822,Center
90548,Scratch
55826,Near-full
20910,Edge-Loc
43768,Loc
75623,Random
75375,Random
25883,Edge-Loc
60095,Near-full
72183,Random
23174,Edge-Loc
56449,Near-full
20031,Edge-Loc
11468,Center
56889,Near-full
29714,Edge-Ring
36409,Edge-Ring
74011,Random
19679,Edge-Loc
16667,Edge-Loc
89630,Scratch
5849,Center
54713,Near-full
18691,Edge-Loc
17023,Edge-Loc
77489,Random
7876,Center
84005,Scratch
77533,Random
67100,Near-full
50050,Loc
42984,Loc
64302,Near-full
48936,Loc
86770,Scratch
88601,Scratch
41270,Loc
91198,Scratch
4471,Center
5460,Center
49236,Loc
91556,Scratch
35916,Edge-Ring
37588,Edge-Ring
45506,Loc
3623,Center
74608,Random
92711,Scratch
76909,Random
59760,Near-full
5692,Center
80648,Random
76660,Random
48954,Loc
17937,Edge-Loc
50113,Loc
30735,Edge-Ring
38218,Edge-Ring
46079,Loc
91741,Scratch
22404,Edge-Loc
19764,Edge-Loc
32850,Edge-Ring
3261,Center
50093,Loc
41419,Loc
14434,Edge-Loc
91838,Scratch
60666,Near-full
63465,Near-full
8351,Center
12536,Center
36931,Edge-Ring
33401,Edge-Ring
65256,Near-full
79526,Random
82010,Scratch
43328,Loc
78848,Random
37926,Edge-Ring
68619,Random
61330,Near-full
38526,Edge-Ring
85415,Scratch
90569,Scratch
69647,Random
4126,Center
72106,Random
20813,Edge-Loc
87204,Scratch
89442,Scratch
11504,Center
50673,Loc
41902,Loc
37044,Edge-Ring
88634,Scratch
56686,Near-full
65688,Near-full
48059,Loc
21352,Edge-Loc
84420,Scratch
75186,Random
61575,Near-full
18310,Edge-Loc
42066,Loc
4325,Center
39620,Edge-Ring
65980,Near-full
54647,Near-full
59330,Near-full
25573,Edge-Loc
2083,Center
1798,Center
88894,Scratch
66744,Near-full
45916,Loc
74479,Random
38764,Edge-Ring
91841,Scratch
92157,Scratch
60824,Near-full
83106,Scratch
18088,Edge-Loc
5272,Center
84748,Scratch
58884,Near-full
33403,Edge-Ring
37029,Edge-Ring
52830,Loc
67723,Random
21423,Edge-Loc
36777,Edge-Ring
79555,Random
27467,Edge-Ring
44109,Loc
17,Center
29817,Edge-Ring
74997,Random
38574,Edge-Ring
48492,Loc
42593,Loc
57727,Near-full
82631,Scratch
43090,Loc
31115,Edge-Ring
44685,Loc
44566,Loc
42099,Loc
30674,Edge-Ring
32353,Edge-Ring
91851,Scratch
18374,Edge-Loc
91156,Scratch
65216,Near-full
48180,Loc
31497,Edge-Ring
27252,Edge-Ring
36650,Edge-Ring
57593,Near-full
85237,Scratch
41867,Loc
19835,Edge-Loc
53796,Loc
70302,Random
78662,Random
10869,Center
8339,Center
79531,Random
30589,Edge-Ring
6800,Center
58531,Near-full
14472,Edge-Loc
15559,Edge-Loc
82520,Scratch
43673,Loc
15779,Edge-Loc
60697,Near-full
74072,Random
35043,Edge-Ring
36790,Edge-Ring
58918,Near-full
79046,Random
1549,Center
49180,Loc
62706,Near-full
73810,Random
12955,Center
72157,Random
57678,Near-full
49268,Loc
76843,Random
28868,Edge-Ring
65203,Near-full
23962,Edge-Loc
84936,Scratch
9986,Center
73318,Random
74322,Random
76685,Random
90905,Scratch
21197,Edge-Loc
36243,Edge-Ring
22296,Edge-Loc
46514,Loc
67326,Near-full
6651,Center
73059,Random
4766,Center
45207,Loc
81929,Scratch
25395,Edge-Loc
84159,Scratch
63423,Near-full
60635,Near-full
11589,Center
92902,Scratch
87917,Scratch
65669,Near-full
5300,Center
85973,Scratch
19003,Edge-Loc
81230,Scratch
67631,Random
83695,Scratch
70094,Random
21439,Edge-Loc
73109,Random
3318,Center
54839,Near-full
88710,Scratch
5879,Center
23739,Edge-Loc
10465,Center
34201,Edge-Ring
5203,Center
93044,Scratch
20463,Edge-Loc
643,Center
14605,Edge-Loc
40030,Edge-Ring
33439,Edge-Ring
82586,Scratch
33851,Edge-Ring
62929,Near-full
27287,Edge-Ring
20408,Edge-Loc
85781,Scratch
10005,Center
16487,Edge-Loc
51452,Loc
1718,Center
28992,Edge-Ring
71142,Random
69164,Random
17031,Edge-Loc
28463,Edge-Ring
25590,Edge-Loc
49920,Loc
3682,Center
42617,Loc
13535,Edge-Loc
56042,Near-full
85086,Scratch
92261,Scratch
79285,Random
32204,Edge-Ring
83319,Scratch
70897,Random
11739,Center
52320,Loc
20719,Edge-Loc
18294,Edge-Loc
53612,Loc
47488,Loc
91830,Scratch
4643,Center
38590,Edge-Ring
79422,Random
52536,Loc
2840,Center
90312,Scratch
33250,Edge-Ring
10212,Center
2447,Center
10067,Center
46781,Loc
71186,Random
32694,Edge-Ring
88758,Scratch
77083,Random
42742,Loc
60961,Near-full
39842,Edge-Ring
1382,Center
24364,Edge-Loc
28621,Edge-Ring
35774,Edge-Ring
13767,Edge-Loc
64657,Near-full
86756,Scratch
12186,Center
62215,Near-full
30829,Edge-Ring
54746,Near-full
9508,Center
33659,Edge-Ring
5037,Center
72959,Random
36840,Edge-Ring
3201,Center
30451,Edge-Ring
58002,Near-full
76351,Random
26926,Edge-Loc
42220,Loc
25706,Edge-Loc
91617,Scratch
72809,Random
10016,Center
29929,Edge-Ring
34241,Edge-Ring
14759,Edge-Loc
83496,Scratch
56550,Near-full
27829,Edge-Ring
27346,Edge-Ring
40961,Loc
1941,Center
19578,Edge-Loc
7382,Center
6950,Center
94076,Scratch
57973,Near-full
27566,Edge-Ring
90015,Scratch
75765,Random
86501,Scratch
38945,Edge-Ring
33954,Edge-Ring
66610,Near-full
76577,Random
25051,Edge-Loc
24340,Edge-Loc
34134,Edge-Ring
12637,Center
51878,Loc
26802,Edge-Loc
26131,Edge-Loc
34659,Edge-Ring
89375,Scratch
60527,Near-full
8221,Center
51750,Loc
51768,Loc
33330,Edge-Ring
65457,Near-full
72932,Random
6284,Center
89139,Scratch
81821,Scratch
10224,Center
57127,Near-full
2022,Center
84031,Scratch
3160,Center
40744,Loc
68060,Random
61561,Near-full
32769,Edge-Ring
18833,Edge-Loc
52617,Loc
50283,Loc
25789,Edge-Loc
23019,Edge-Loc
71893,Random
31543,Edge-Ring
14156,Edge-Loc
72552,Random
66131,Near-full
54467,Near-full
46429,Loc
41596,Loc
5684,Center
66077,Near-full
6066,Center
44868,Loc
89805,Scratch
36512,Edge-Ring
74687,Random
28066,Edge-Ring
69884,Random
42235,Loc
46010,Loc
41221,Loc
36919,Edge-Ring
57291,Near-full
7171,Center
46203,Loc
78283,Random
41928,Loc
17089,Edge-Loc
55547,Near-full
81120,Scratch
31840,Edge-Ring
91865,Scratch
90042,Scratch
65609,Near-full
89202,Scratch
4540,Center
53047,Loc
8586,Center
91884,Scratch
92546,Scratch
62811,Near-full
33814,Edge-Ring
2127,Center
90181,Scratch
31423,Edge-Ring
87159,Scratch
48428,Loc
46986,Loc
7266,Center
64022,Near-full
91460,Scratch
41424,Loc
52421,Loc
59302,Near-full
34809,Edge-Ring
62732,Near-full
47602,Loc
76561,Random
83753,Scratch
5044,Center
37480,Edge-Ring
12487,Center
90035,Scratch
18646,Edge-Loc
10722,Center
32673,Edge-Ring
73647,Random
88556,Scratch
5185,Center
16446,Edge-Loc
47425,Loc
5433,Center
62856,Near-full
5076,Center
46020,Loc
72677,Random
92259,Scratch
43614,Loc
59974,Near-full
54213,Near-full
37322,Edge-Ring
76834,Random
78075,Random
64348,Near-full
84367,Scratch
87491,Scratch
9576,Center
25899,Edge-Loc
73011,Random
72356,Random
16598,Edge-Loc
90804,Scratch
64954,Near-full
54168,Near-full
70411,Random
4050,Center
43823,Loc
63636,Near-full
29356,Edge-Ring
47726,Loc
77199,Random
25893,Edge-Loc
68572,Random
12337,Center
75418,Random
24842,Edge-Loc
26370,Edge-Loc
79031,Random
9356,Center
58579,Near-full
89382,Scratch
19906,Edge-Loc
90215,Scratch
64666,Near-full
3575,Center
60235,Near-full
91552,Scratch
72468,Random
15311,Edge-Loc
52386,Loc
56355,Near-full
51875,Loc
93271,Scratch
28666,Edge-Ring
7657,Center
30895,Edge-Ring
13237,Center
45524,Loc
43048,Loc
7368,Center
75213,Random
67088,Near-full
22527,Edge-Loc
51977,Loc
78622,Random
22926,Edge-Loc
60452,Near-full
71283,Random
46888,Loc
93728,Scratch
76887,Random
63080,Near-full
35909,Edge-Ring
81931,Scratch
84531,Scratch
15603,Edge-Loc
69403,Random
57247,Near-full
13612,Edge-Loc
10687,Center
63651,Near-full
53141,Loc
91167,Scratch
73405,Random
6533,Center
48446,Loc
49451,Loc
44338,Loc
25204,Edge-Loc
37312,Edge-Ring
67758,Random
42264,Loc
94236,Scratch
22667,Edge-Loc
33547,Edge-Ring
39484,Edge-Ring
43267,Loc
92847,Scratch
40609,Loc
89999,Scratch
87845,Scratch
22255,Edge-Loc
83694,Scratch
47457,Loc
11035,Center
80128,Random
19933,Edge-Loc
34263,Edge-Ring
52724,Loc
35323,Edge-Ring
60350,Near-full
67727,Random
92250,Scratch
63934,Near-full
59267,Near-full
8754,Center
39815,Edge-Ring
30958,Edge-Ring
53041,Loc
71935,Random
17134,Edge-Loc
61218,Near-full
52483,Loc
67510,Random
44671,Loc
72693,Random
45998,Loc
4319,Center
13049,Center
23625,Edge-Loc
24719,Edge-Loc
29912,Edge-Ring
88021,Scratch
91173,Scratch
25828,Edge-Loc
59648,Near-full
67558,Random
62641,Near-full
92260,Scratch
52741,Loc
10141,Center
86921,Scratch
29769,Edge-Ring
11582,Center
25983,Edge-Loc
90383,Scratch
49155,Loc
8555,Center
15209,Edge-Loc
44289,Loc
79676,Random
32663,Edge-Ring
29175,Edge-Ring
75507,Random
48688,Loc
35957,Edge-Ring
18508,Edge-Loc
37500,Edge-Ring
8806,Center
78350,Random
14052,Edge-Loc
13473,Center
29641,Edge-Ring
48214,Loc
25331,Edge-Loc
20957,Edge-Loc
43200,Loc
84958,Scratch
73697,Random
69175,Random
80960,Scratch
9118,Center
22013,Edge-Loc
48952,Loc
44692,Loc
18173,Edge-Loc
10231,Center
41949,Loc
48129,Loc
40815,Loc
18907,Edge-Loc
9509,Center
65821,Near-full
62333,Near-full
15355,Edge-Loc
82441,Scratch
55540,Near-full
56980,Near-full
19392,Edge-Loc
14598,Edge-Loc
26770,Edge-Loc
85431,Scratch
71567,Random
44652,Loc
18785,Edge-Loc
83022,Scratch
42921,Loc
16790,Edge-Loc
72177,Random
816,Center
37818,Edge-Ring
26324,Edge-Loc
25855,Edge-Loc
10802,Center
5025,Center
51842,Loc
51659,Loc
25097,Edge-Loc
56949,Near-full
54704,Near-full
15438,Edge-Loc
28260,Edge-Ring
43940,Loc
14762,Edge-Loc
81239,Scratch
91238,Scratch
90663,Scratch
52325,Loc
92640,Scratch
48912,Loc
88672,Scratch
25979,Edge-Loc
30536,Edge-Ring
47871,Loc
28937,Edge-Ring
38296,Edge-Ring
78780,Random
70661,Random
13514,Edge-Loc
26055,Edge-Loc
47191,Loc
7345,Center
41785,Loc
6480,Center
87289,Scratch
55027,Near-full
88805,Scratch
36690,Edge-Ring
55830,Near-full
64734,Near-full
16804,Edge-Loc
62761,Near-full
79492,Random
77455,Random
79154,Random
93005,Scratch
12460,Center
267,Center
5287,Center
48497,Loc
77208,Random
93815,Scratch
5803,Center
47269,Loc
26774,Edge-Loc
5088,Center
38345,Edge-Ring
78323,Random
12013,Center
6019,Center
18246,Edge-Loc
52576,Loc
57328,Near-full
31285,Edge-Ring
8371,Center
60823,Near-full
49655,Loc
55410,Near-full
49410,Loc
90616,Scratch
91785,Scratch
70279,Random
77372,Random
25695,Edge-Loc
57259,Near-full
19873,Edge-Loc
43295,Loc
9159,Center
50111,Loc
84426,Scratch
51237,Loc
48076,Loc
350,Center
87135,Scratch
64458,Near-full
40364,Edge-Ring
62598,Near-full
54104,Near-full
13017,Center
78824,Random
55707,Near-full
24730,Edge-Loc
60156,Near-full
18321,Edge-Loc
5276,Center
53467,Loc
25849,Edge-Loc
36911,Edge-Ring
67167,Near-full
36306,Edge-Ring
8840,Center
10938,Center
2875,Center
73240,Random
55444,Near-full
85852,Scratch
76794,Random
63926,Near-full
87897,Scratch
76991,Random
38036,Edge-Ring
38000,Edge-Ring
16311,Edge-Loc
13320,Center
1083,Center
60407,Near-full
84580,Scratch
23442,Edge-Loc
90869,Scratch
34786,Edge-Ring
69071,Random
90736,Scratch
71951,Random
22775,Edge-Loc
80264,Random
11432,Center
14799,Edge-Loc
17664,Edge-Loc
37631,Edge-Ring
10709,Center
58574,Near-full
50251,Loc
75719,Random
93572,Scratch
67126,Near-full
23548,Edge-Loc
20649,Edge-Loc
51610,Loc
32248,Edge-Ring
11094,Center
32196,Edge-Ring
26497,Edge-Loc
68423,Random
14444,Edge-Loc
35236,Edge-Ring
71925,Random
896,Center
93566,Scratch
47722,Loc
17077,Edge-Loc
33193,Edge-Ring
83826,Scratch
68575,Random
9240,Center
51562,Loc
37553,Edge-Ring
58544,Near-full
75949,Random
29532,Edge-Ring
69621,Random
73039,Random
91968,Scratch
63106,Near-full
23247,Edge-Loc
67153,Near-full
38206,Edge-Ring
11843,Center
30265,Edge-Ring
72134,Random
8759,Center
51678,Loc
89934,Scratch
63477,Near-full
62585,Near-full
92564,Scratch
48353,Loc
17619,Edge-Loc
83379,Scratch
51862,Loc
50106,Loc
5156,Center
59960,Near-full
68492,Random
34318,Edge-Ring
11676,Center
92745,Scratch
22913,Edge-Loc
89206,Scratch
81176,Scratch
87180,Scratch
67753,Random
30985,Edge-Ring
85260,Scratch
6756,Center
10827,Center
38322,Edge-Ring
7071,Center
9698,Center
25427,Edge-Loc
60089,Near-full
54702,Near-full
39589,Edge-Ring
89983,Scratch
67329,Near-full
22110,Edge-Loc
61666,Near-full
15954,Edge-Loc
80238,Random
63101,Near-full
57168,Near-full
66865,Near-full
92934,Scratch
75900,Random
86299,Scratch
75659,Random
75169,Random
23605,Edge-Loc
82662,Scratch
11661,Center
59216,Near-full
12689,Center
92427,Scratch
75800,Random
35627,Edge-Ring
94371,Scratch
92405,Scratch
86571,Scratch
65472,Near-full
23089,Edge-Loc
17469,Edge-Loc
7690,Center
59377,Near-full
44112,Loc
70172,Random
16676,Edge-Loc
88985,Scratch
20861,Edge-Loc
47081,Loc
11359,Center
5961,Center
58774,Near-full
59694,Near-full
61489,Near-full
42236,Loc
10519,Center
85551,Scratch
47781,Loc
72946,Random
59723,Near-full
66932,Near-full
37933,Edge-Ring
72330,Random
13402,Center
33248,Edge-Ring
28400,Edge-Ring
78050,Random
80098,Random
55370,Near-full
28642,Edge-Ring
38622,Edge-Ring
84270,Scratch
24613,Edge-Loc
75419,Random
11708,Center
66063,Near-full
41740,Loc
55786,Near-full
45321,Loc
1868,Center
31993,Edge-Ring
40246,Edge-Ring
6372,Center
51393,Loc
32407,Edge-Ring
90756,Scratch
7129,Center
61151,Near-full
16626,Edge-Loc
2226,Center
53610,Loc
13188,Center
12674,Center
35401,Edge-Ring
80645,Random
63985,Near-full
86487,Scratch
38920,Edge-Ring
12778,Center
90934,Scratch
63631,Near-full
62299,Near-full
82589,Scratch
84256,Scratch
46250,Loc
93100,Scratch
53611,Loc
11509,Center
5052,Center
77355,Random
81515,Scratch
44601,Loc
57755,Near-full
27557,Edge-Ring
37748,Edge-Ring
88217,Scratch
32962,Edge-Ring
46292,Loc
93093,Scratch
92487,Scratch
75195,Random
17653,Edge-Loc
18823,Edge-Loc
45190,Loc
51572,Loc
62868,Near-full
71425,Random
33637,Edge-Ring
60954,Near-full
33017,Edge-Ring
69911,Random
65570,Near-full
641,Center
57952,Near-full
50366,Loc
10995,Center
41360,Loc
66537,Near-full
7644,Center
42772,Loc
47873,Loc
27610,Edge-Ring
12791,Center
61296,Near-full
20827,Edge-Loc
68532,Random
59257,Near-full
1479,Center
1832,Center
74520,Random
82126,Scratch
24507,Edge-Loc
21644,Edge-Loc
85357,Scratch
1389,Center
37047,Edge-Ring
86339,Scratch
68028,Random
87415,Scratch
35963,Edge-Ring
22149,Edge-Loc
88914,Scratch
41939,Loc
79607,Random
2115,Center
82036,Scratch
1350,Center
82819,Scratch
54253,Near-full
68067,Random
2688,Center
28615,Edge-Ring
2106,Center
28350,Edge-Ring
79958,Random
15882,Edge-Loc
36827,Edge-Ring
53685,Loc
85905,Scratch
73933,Random
1269,Center
63672,Near-full
55574,Near-full
9273,Center
51996,Loc
65246,Near-full
21607,Edge-Loc
57330,Near-full
83492,Scratch
17557,Edge-Loc
89030,Scratch
58325,Near-full
62262,Near-full
22754,Edge-Loc
31049,Edge-Ring
63485,Near-full
23142,Edge-Loc
27380,Edge-Ring
41484,Loc
62160,Near-full
83302,Scratch
5482,Center
19261,Edge-Loc
15966,Edge-Loc
62602,Near-full
62133,Near-full
30226,Edge-Ring
17543,Edge-Loc
31089,Edge-Ring
69335,Random
7257,Center
25118,Edge-Loc
74833,Random
81459,Scratch
92124,Scratch
41325,Loc
23683,Edge-Loc
3107,Center
27284,Edge-Ring
38015,Edge-Ring
58142,Near-full
53581,Loc
74664,Random
66832,Near-full
58819,Near-full
85282,Scratch
68106,Random
14034,Edge-Loc
92021,Scratch
11149,Center
92081,Scratch
87278,Scratch
80743,Random
51617,Loc
75513,Random
6192,Center
21590,Edge-Loc
90258,Scratch
80898,Random
49475,Loc
60493,Near-full
16769,Edge-Loc
16424,Edge-Loc
6461,Center
56990,Near-full
17264,Edge-Loc
40638,Loc
47980,Loc
14956,Edge-Loc
78496,Random
24329,Edge-Loc
27780,Edge-Ring
38967,Edge-Ring
65403,Near-full
55625,Near-full
52570,Loc
81676,Scratch
18172,Edge-Loc
81237,Scratch
56310,Near-full
86553,Scratch
9719,Center
3021,Center
27330,Edge-Ring
19804,Edge-Loc
8297,Center
13936,Edge-Loc
4644,Center
82751,Scratch
36081,Edge-Ring
13291,Center
45140,Loc
61351,Near-full
55156,Near-full
11702,Center
22975,Edge-Loc
40691,Loc
46708,Loc
51604,Loc
14021,Edge-Loc
82966,Scratch
69578,Random
72304,Random
65090,Near-full
52780,Loc
20950,Edge-Loc
20170,Edge-Loc
82430,Scratch
12046,Center
70757,Random
68626,Random
73817,Random
51186,Loc
52046,Loc
45863,Loc
64863,Near-full
32742,Edge-Ring
8750,Center
45616,Loc
32242,Edge-Ring
16333,Edge-Loc
30924,Edge-Ring
22838,Edge-Loc
18786,Edge-Loc
40891,Loc
47929,Loc
29193,Edge-Ring
16726,Edge-Loc
1656,Center
44269,Loc
73585,Random
46860,Loc
62757,Near-full
65589,Near-full
91878,Scratch
4321,Center
50549,Loc
93308,Scratch
65156,Near-full
70955,Random
92090,Scratch
22827,Edge-Loc
89140,Scratch
19049,Edge-Loc
54075,Near-full
62937,Near-full
43815,Loc
93734,Scratch
44231,Loc
38751,Edge-Ring
86758,Scratch
80656,Random
74516,Random
79369,Random
52423,Loc
44678,Loc
91097,Scratch
83672,Scratch
43652,Loc
979,Center
35678,Edge-Ring
74961,Random
63973,Near-full
59617,Near-full
75391,Random
24517,Edge-Loc
24448,Edge-Loc
91064,Scratch
76634,Random
56098,Near-full
79548,Random
66901,Near-full
69492,Random
21066,Edge-Loc
46438,Loc
2866,Center
2027,Center
46849,Loc
59638,Near-full
49525,Loc
21141,Edge-Loc
32819,Edge-Ring
23113,Edge-Loc
47893,Loc
82187,Scratch
38376,Edge-Ring
37081,Edge-Ring
12390,Center
17879,Edge-Loc
29041,Edge-Ring
19755,Edge-Loc
57548,Near-full
87786,Scratch
4192,Center
54087,Near-full
48078,Loc
19731,Edge-Loc
48793,Loc
59725,Near-full
62596,Near-full
90956,Scratch
1451,Center
74772,Random
88899,Scratch
644,Center
53415,Loc
56955,Near-full
36196,Edge-Ring
27647,Edge-Ring
77493,Random
40028,Edge-Ring
47718,Loc
45056,Loc
40588,Loc
18099,Edge-Loc
16327,Edge-Loc
67788,Random
23458,Edge-Loc
88689,Scratch
55652,Near-full
76029,Random
9377,Center
61491,Near-full
26827,Edge-Loc
76694,Random
42303,Loc
26667,Edge-Loc
72572,Random
13617,Edge-Loc
79855,Random
65129,Near-full
9085,Center
5488,Center
56699,Near-full
22730,Edge-Loc
52073,Loc
571,Center
64193,Near-full
15436,Edge-Loc
39316,Edge-Ring
50753,Loc
31273,Edge-Ring
31742,Edge-Ring
59461,Near-full
78486,Random
74581,Random
53291,Loc
66336,Near-full
15187,Edge-Loc
80314,Random
89653,Scratch
71614,Random
32725,Edge-Ring
64273,Near-full
37143,Edge-Ring
20747,Edge-Loc
67141,Near-full
56785,Near-full
69290,Random
34993,Edge-Ring
89957,Scratch
34205,Edge-Ring
60197,Near-full
37071,Edge-Ring
61104,Near-full
77212,Random
55967,Near-full
44745,Loc
89203,Scratch
51169,Loc
29384,Edge-Ring
90067,Scratch
20551,Edge-Loc
17085,Edge-Loc
47864,Loc
11105,Center
22491,Edge-Loc
43697,Loc
94030,Scratch
57381,Near-full
52783,Loc
86585,Scratch
7181,Center
50944,Loc
51693,Loc
16584,Edge-Loc
64780,Near-full
59490,Near-full
21615,Edge-Loc
13627,Edge-Loc
4067,Center
76773,Random
53883,Loc
78392,Random
6861,Center
86525,Scratch
63235,Near-full
19302,Edge-Loc
23648,Edge-Loc
65158,Near-full
51501,Loc
6304,Center
6090,Center
87756,Scratch
13193,Center
31435,Edge-Ring
38680,Edge-Ring
15136,Edge-Loc
5202,Center
93560,Scratch
57093,Near-full
84237,Scratch
28891,Edge-Ring
31845,Edge-Ring
39734,Edge-Ring
50304,Loc
49714,Loc
66383,Near-full
23303,Edge-Loc
26468,Edge-Loc
14510,Edge-Loc
80599,Random
28320,Edge-Ring
67701,Random
87249,Scratch
73916,Random
19424,Edge-Loc
13545,Edge-Loc
61754,Near-full
90461,Scratch
56180,Near-full
53755,Loc
67323,Near-full
13162,Center
30698,Edge-Ring
18838,Edge-Loc
49875,Loc
85859,Scratch
66524,Near-full
58009,Near-full
50166,Loc
72227,Random
975,Center
89248,Scratch
7049,Center
86313,Scratch
77939,Random
41750,Loc
67224,Near-full
37925,Edge-Ring
73971,Random
82909,Scratch
88506,Scratch
56999,Near-full
32913,Edge-Ring
91856,Scratch
64831,Near-full
21329,Edge-Loc
14567,Edge-Loc
32987,Edge-Ring
39799,Edge-Ring
40942,Loc
71748,Random
82797,Scratch
18501,Edge-Loc
94179,Scratch
39617,Edge-Ring
37720,Edge-Ring
69872,Random
85645,Scratch
81955,Scratch
70071,Random
25392,Edge-Loc
35221,Edge-Ring
4194,Center
31956,Edge-Ring
64866,Near-full
30625,Edge-Ring
52670,Loc
40910,Loc
35859,Edge-Ring
44227,Loc
9142,Center
82204,Scratch
26800,Edge-Loc
88199,Scratch
33848,Edge-Ring
3324,Center
30335,Edge-Ring
86835,Scratch
36627,Edge-Ring
68434,Random
89131,Scratch
18149,Edge-Loc
29246,Edge-Ring
35862,Edge-Ring
9617,Center
62306,Near-full
89686,Scratch
13124,Center
60335,Near-full
86789,Scratch
69787,Random
68269,Random
25748,Edge-Loc
77566,Random
2589,Center
76048,Random
76239,Random
93681,Scratch
64353,Near-full
58731,Near-full
67361,Near-full
7604,Center
92764,Scratch
49500,Loc
20001,Edge-Loc
468,Center
46670,Loc
38818,Edge-Ring
58611,Near-full
66646,Near-full
75776,Random
56146,Near-full
1885,Center
25232,Edge-Loc
4681,Center
11376,Center
212,Center
40619,Loc
36044,Edge-Ring
51277,Loc
48251,Loc
45177,Loc
39051,Edge-Ring
25415,Edge-Loc
54427,Near-full
50660,Loc
32646,Edge-Ring
17252,Edge-Loc
77097,Random
13505,Edge-Loc
58676,Near-full
3722,Center
30060,Edge-Ring
74963,Random
75396,Random
1295,Center
19180,Edge-Loc
46181,Loc
6347,Center
70266,Random
1735,Center
31029,Edge-Ring
59214,Near-full
46910,Loc
81947,Scratch
2746,Center
84276,Scratch
37771,Edge-Ring
60883,Near-full
68766,Random
71691,Random
84122,Scratch
14213,Edge-Loc
59218,Near-full
77987,Random
12243,Center
79704,Random
85145,Scratch
83068,Scratch
47126,Loc
29872,Edge-Ring
22438,Edge-Loc
50584,Loc
65101,Near-full
944,Center
82117,Scratch
54021,Near-full
88903,Scratch
1073,Center
51793,Loc
457,Center
64118,Near-full
91125,Scratch
8496,Center
12814,Center
53374,Loc
83733,Scratch
75321,Random
39161,Edge-Ring
21543,Edge-Loc
61303,Near-full
68037,Random
72576,Random
3073,Center
8178,Center
2551,Center
46040,Loc
13196,Center
55551,Near-full
79216,Random
43849,Loc
2288,Center
35655,Edge-Ring
54709,Near-full
61789,Near-full
79733,Random
9587,Center
24310,Edge-Loc
72182,Random
64644,Near-full
66047,Near-full
68764,Random
3666,Center
58378,Near-full
17331,Edge-Loc
69268,Random
71000,Random
92547,Scratch
93419,Scratch
92665,Scratch
62999,Near-full
39166,Edge-Ring
25997,Edge-Loc
73231,Random
76567,Random
4480,Center
6449,Center
81733,Scratch
60085,Near-full
85812,Scratch
93211,Scratch
75567,Random
41467,Loc
31138,Edge-Ring
77270,Random
74730,Random
51588,Loc
10732,Center
17682,Edge-Loc
61248,Near-full
58605,Near-full
39987,Edge-Ring
22457,Edge-Loc
72837,Random
65343,Near-full
87902,Scratch
55387,Near-full
70361,Random
23326,Edge-Loc
2200,Center
45542,Loc
30918,Edge-Ring
72603,Random
80184,Random
48149,Loc
90102,Scratch
83110,Scratch
57157,Near-full
87629,Scratch
41888,Loc
75713,Random
59321,Near-full
21486,Edge-Loc
49380,Loc
59491,Near-full
85728,Scratch
6307,Center
48917,Loc
53163,Loc
77462,Random
46488,Loc
23685,Edge-Loc
19377,Edge-Loc
40009,Edge-Ring
62779,Near-full
67554,Random
84286,Scratch
78907,Random
22258,Edge-Loc
49868,Loc
69138,Random
92027,Scratch
42399,Loc
56444,Near-full
13028,Center
57828,Near-full
46309,Loc
18626,Edge-Loc
67303,Near-full
47476,Loc
9205,Center
79051,Random
90029,Scratch
52972,Loc
39108,Edge-Ring
8479,Center
72374,Random
91409,Scratch
3614,Center
75218,Random
45868,Loc
7849,Center
71609,Random
88843,Scratch
85910,Scratch
50193,Loc
33449,Edge-Ring
81509,Scratch
5850,Center
64179,Near-full
84519,Scratch
55127,Near-full
10478,Center
82971,Scratch
4777,Center
15320,Edge-Loc
39090,Edge-Ring
86244,Scratch
45470,Loc
82919,Scratch
5796,Center
46150,Loc
57747,Near-full
75082,Random
79495,Random
70643,Random
29055,Edge-Ring
56716,Near-full
69961,Random
60557,Near-full
9425,Center
65313,Near-full
51017,Loc
50857,Loc
25479,Edge-Loc
18903,Edge-Loc
64806,Near-full
25781,Edge-Loc
77476,Random
18201,Edge-Loc
27114,Edge-Ring
32777,Edge-Ring
20310,Edge-Loc
49999,Loc
26094,Edge-Loc
60293,Near-full
40148,Edge-Ring
34151,Edge-Ring
92607,Scratch
81136,Scratch
55874,Near-full
79769,Random
19665,Edge-Loc
37581,Edge-Ring
38606,Edge-Ring
39167,Edge-Ring
57774,Near-full
90425,Scratch
57888,Near-full
77798,Random
78507,Random
1505,Center
39435,Edge-Ring
44832,Loc
81876,Scratch
14013,Edge-Loc
57115,Near-full
72222,Random
61942,Near-full
82861,Scratch
41721,Loc
71203,Random
67609,Random
92828,Scratch
30501,Edge-Ring
73773,Random
18398,Edge-Loc
49799,Loc
86579,Scratch
32820,Edge-Ring
13944,Edge-Loc
38736,Edge-Ring
76586,Random
40896,Loc
77061,Random
12638,Center
4113,Center
64014,Near-full
68278,Random
53795,Loc
68071,Random
86813,Scratch
20026,Edge-Loc
19181,Edge-Loc
66162,Near-full
77166,Random
10165,Center
19389,Edge-Loc
85168,Scratch
6810,Center
75134,Random
45955,Loc
4588,Center
80257,Random
64116,Near-full
68509,Random
91448,Scratch
45551,Loc
2859,Center
32890,Edge-Ring
